x,y,z,activity
0.3496714153011233,0.2938283805975998,9.463420711779031,Walking
0.2861735698828815,0.14839552717826263,9.774975283829637,Walking
0.36476885381006924,0.20961207769409834,9.370807164175092,Walking
0.4523029856408025,0.15377247112949577,9.34016159866995,Walking
0.2765846625276664,0.15655037725676846,9.403451295563594,Walking
0.2765863043050819,0.16908278765313606,9.309334278348258,Walking
0.45792128155073913,0.2222133771633713,9.52453406319896,Walking
0.37674347291529087,0.15212513783365228,9.824935691693913,Walking
0.2530525614065048,0.3255756125573521,9.564615854623206,Walking
0.35425600435859644,0.11053926977804962,9.449529299574742,Walking
0.25365823071875376,0.1813128355838641,9.441637746216891,Walking
0.2534270246429743,0.15602689417258253,9.187361838260669,Walking
0.3241962271566034,0.3446977884353733,9.676621955429432,Walking
0.1086719755342202,0.21965547765115748,9.48443256059744,Walking
0.1275082167486967,0.3031844539468635,9.463904017281875,Walking
0.24377124707590273,0.0514439626963028,10.138621513568973,Walking
0.19871688796655762,0.2267050265869259,9.559750581673137,Walking
0.33142473325952737,0.28896307956234374,9.349641789980963,Walking
0.2091975924478789,0.20822839892754244,9.41472848075889,Walking
0.15876962986647083,0.30654803750653514,9.729689141839351,Walking
0.4465648768921554,0.1482711549899628,9.522654082107552,Walking
0.2774223699513464,0.340934744018558,9.212344404336527,Walking
0.3067528204687924,0.42988981236192503,9.683845786915041,Walking
0.15752518137865432,0.1637161439560341,9.366371182892202,Walking
0.24556172754748173,0.15544974785992283,9.87465955524351,Walking
0.3110922589709866,0.34533844771177014,9.71600961314293,Walking
0.1849006422577697,0.3579572145730713,9.41053562086825,Walking
0.3375698018345672,0.1477139972846732,9.756203272347022,Walking
0.2399361310081195,0.15798131829041429,9.51357110210548,Walking
0.2708306250206723,0.1718215391139493,9.670554735024444,Walking
0.2398293387770603,0.06555494889657229,9.596946563458895,Walking
0.4852278184508938,0.10813480535158018,9.330728669001825,Walking
0.2986502775262066,0.09958592332479321,9.371290033536507,Walking
0.19422890710440993,0.12322024348958716,9.705992163516232,Walking
0.3822544912103189,0.1965315112613219,9.433044933578692,Walking
0.17791563500289775,0.22342147325365208,9.419270307351601,Walking
0.3208863595004755,0.3550500492814077,9.30897548413013,Walking
0.10403298761202243,0.10016459592612091,9.584719813118692,Walking
0.16718139511015692,0.2984322398476584,9.91250498384863,Walking
0.31968612358691234,0.17860111557744912,9.286493417149146,Walking
0.37384665799954103,0.1950536290347567,9.504843891334552,Walking
0.317136828118997,0.2674819492166604,9.782444111083086,Walking
0.28843517176117595,0.08772779784377015,9.484071721750857,Walking
0.2698896304410711,0.23824097461840507,9.590474359249948,Walking
0.15214780096325725,0.2166452208213056,9.287521294370624,Walking
0.2280155791605291,0.24924512640081492,9.58566141944153,Walking
0.25393612290402123,0.22891686439078182,9.46257114699909,Walking
0.40571222262189155,0.44553001399108944,9.697145999135973,Walking
0.33436182895684613,0.13622600157486842,9.73747721031295,Walking
0.1236959844637266,0.14690030449981825,10.017912728403722,Walking
0.3324083969394795,0.13768594735752357,9.615926634642715,Walking
0.2614917719583683,0.14445228808397453,9.565159263316433,Walking
0.2323077999694041,0.13626128726934822,9.538876860315467,Walking
0.36116762888408677,0.3189016531107552,9.429366741437862,Walking
0.4030999522495951,0.3420504247989855,9.567696768692338,Walking
